TITLE	100%S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:14:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -4.31711
MAXY	    23.13002
MINY	    -9.96572
XYDATA
Channel 1
	0	15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	345	360	375	390	405	420
644	-6.18221	-3.89694	0.0817651	0.240234	-1.39458	-1.98804	-2.61693	-2.8305	-3.19132	-3.84708	-3.54946	-3.50955	-4.59292	-4.69835	-4.39768	-4.21646	-5.32416	-4.41615	-4.91019	-4.26149	-3.99548	-4.29006	-3.65201	-5.19717	-3.81135	-4.87923	-4.10164	-3.19401	-2.72695
643	-6.5545	-3.37025	1.00439	0.423833	-0.892008	-1.16346	-2.21871	-2.38205	-2.68473	-3.17339	-3.04882	-2.95784	-4.06328	-3.97166	-4.00983	-4.04046	-4.82696	-3.92896	-4.9009	-3.60637	-3.50183	-3.64862	-3.3374	-4.37196	-3.57915	-4.3907	-3.5345	-3.16085	-2.4347
642	-6.10561	-4.05901	0.873896	0.42649	-0.788425	-0.986974	-2.08349	-2.23444	-2.71991	-3.23844	-2.80722	-2.55811	-3.83804	-4.40175	-4.15673	-4.3122	-4.81154	-3.89572	-4.80644	-4.04637	-3.74383	-3.58144	-3.5608	-4.16414	-4.04365	-4.54421	-3.50031	-2.96036	-2.53292
641	-6.23794	-3.86002	1.52673	0.429429	-0.244311	-0.621125	-1.81282	-2.16775	-2.40439	-3.0459	-2.56164	-2.35251	-3.76541	-4.08349	-4.10969	-3.85844	-5.02415	-4.11542	-4.56509	-3.9145	-3.05112	-3.31952	-3.69021	-3.89438	-4.01998	-4.24449	-3.09315	-2.79629	-2.16329
640	-6.29906	-4.09958	2.10347	0.35295	0.0361299	-0.705643	-2.06037	-1.43033	-2.52953	-2.88788	-2.40817	-2.52208	-3.77368	-3.9574	-4.29906	-3.80324	-5.27373	-4.19952	-4.63746	-4.22694	-3.32064	-3.32899	-4.16353	-3.96238	-4.51637	-4.17113	-3.23901	-2.64055	-2.23958
639	-5.95197	-3.76079	2.62316	0.91887	1.01599	-0.0913287	-1.59937	-0.740039	-2.23152	-2.07027	-2.04103	-2.16755	-3.33146	-3.41815	-4.00136	-3.66294	-4.75459	-4.10301	-4.00811	-3.98804	-2.90978	-3.2507	-3.6955	-3.26875	-4.38147	-3.47494	-2.40926	-2.27483	-1.86561
638	-5.60391	-3.65393	3.30601	1.20702	1.20943	0.695241	-0.849677	-0.601972	-1.69588	-1.8251	-1.73966	-1.97691	-2.95616	-2.96832	-3.54116	-3.18903	-4.07119	-3.86063	-4.08224	-4.0612	-2.73835	-2.96789	-3.60009	-2.81739	-4.30668	-2.68104	-1.86638	-1.4155	-1.81065
637	-5.45794	-3.31804	3.48108	1.64126	1.30816	0.981489	-0.64424	-0.465192	-1.76575	-1.63103	-1.50093	-1.76416	-2.60156	-3.05265	-3.42952	-3.61766	-4.1384	-3.92236	-4.31415	-4.27083	-2.95071	-3.029	-4.00343	-2.7894	-4.44434	-2.61421	-1.47455	-1.6139	-1.96901
636	-5.40064	-3.38006	3.81695	2.56583	1.88993	1.05169	-0.243066	-0.203366	-1.4993	-1.29794	-0.809405	-1.59005	-2.06441	-2.76035	-3.58283	-3.66842	-3.88371	-3.69335	-4.40425	-3.95347	-2.99539	-2.46102	-4.25625	-2.53352	-4.29174	-3.04999	-1.79644	-1.45851	-1.80479
635	-5.45274	-2.99652	3.95679	3.59167	2.13448	1.31983	0.163454	-0.04941	-1.38294	-1.47083	-0.809062	-1.42309	-1.96406	-3.04399	-3.15602	-3.29407	-3.92434	-3.95201	-4.27494	-4.01534	-2.7628	-2.46685	-4.16378	-2.88366	-4.05718	-3.27303	-1.66126	-1.53111	-1.3404
